trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,max_dd_1R,max_dd_1_5R,max_dd_2R,test_type,feature_set,feature_count,delta_pf_1R,delta_avg_r_1R,delta_dd_1R,quality_score
2271,51.7,40.95,32.5,0.034,0.024,-0.025,1.07,1.04,0.963,19.38,34.3,-19.1,-46.0,-91.5,-145.0,single,vwap_aligned=True,1,0.076,0.037,33.0,133.1
2400,48.08,37.75,29.79,-0.038,-0.056,-0.106,0.926,0.91,0.849,18.71,31.65,-19.03,-118.0,-184.0,-301.0,single,vwap_aligned=False,1,-0.068,-0.035,-39.0,-0.12
4653,49.75,39.2,30.99,-0.005,-0.02,-0.07,0.99,0.967,0.898,19.04,32.84,-19.09,-86.0,-184.5,-415.0,single,directional_displacement=False,1,-0.004,-0.002,-7.0,59.25
4671,49.84,39.31,31.11,-0.003,-0.017,-0.067,0.994,0.971,0.903,19.04,32.94,-19.07,-79.0,-176.5,-403.0,single,directional_recent_fvg=True,1,0.0,0.0,0.0,70.44
920,57.93,46.09,36.2,0.159,0.152,0.086,1.377,1.282,1.135,18.71,40.1,-18.34,-25.0,-38.5,-67.0,single,directional_v_reversal=True,1,0.383,0.162,54.0,214.03
3751,47.85,37.64,29.86,-0.043,-0.059,-0.104,0.918,0.906,0.851,19.12,31.18,-19.25,-169.0,-233.0,-413.0,single,directional_v_reversal=False,1,-0.076,-0.04,-90.0,-78.15
3834,49.77,39.2,31.06,-0.005,-0.02,-0.068,0.991,0.967,0.901,19.43,33.4,-19.53,-79.0,-161.5,-354.0,single,has_liq_sweep=True,1,-0.003,-0.002,0.0,69.87
837,50.18,39.78,31.3,0.004,-0.005,-0.061,1.007,0.991,0.911,17.24,30.82,-16.94,-40.0,-47.5,-67.0,single,has_liq_sweep=False,1,0.013,0.007,39.0,131.28
1583,49.97,40.49,31.96,-0.001,0.012,-0.041,0.999,1.021,0.94,19.36,33.79,-19.24,-35.0,-51.0,-105.0,single,fib_50=True,1,0.005,0.002,44.0,137.27
3088,49.77,38.7,30.67,-0.005,-0.033,-0.08,0.991,0.947,0.885,18.87,32.5,-18.98,-54.0,-154.0,-301.0,single,fib_50=False,1,-0.003,-0.002,25.0,107.37
1521,49.97,40.04,33.0,-0.001,0.001,-0.01,0.999,1.002,0.985,16.3,32.59,-17.82,-42.0,-43.0,-68.0,single,fib_618=True,1,0.005,0.002,37.0,126.77
3150,49.78,38.95,30.19,-0.004,-0.026,-0.094,0.991,0.957,0.865,20.36,33.1,-19.67,-67.0,-137.0,-336.0,single,fib_618=False,1,-0.003,-0.001,12.0,87.98
2645,48.13,38.26,31.19,-0.037,-0.043,-0.064,0.928,0.93,0.907,11.94,22.1,-12.8,-130.0,-154.5,-233.0,single,risk_le_20=True,1,-0.066,-0.034,-51.0,-17.77
2026,52.07,40.67,31.0,0.041,0.017,-0.07,1.087,1.028,0.898,28.31,47.09,-27.24,-34.0,-55.5,-179.0,single,risk_le_20=False,1,0.093,0.044,45.0,153.87
1858,47.95,37.41,30.95,-0.041,-0.065,-0.072,0.921,0.896,0.896,9.58,17.6,-10.37,-103.0,-153.0,-165.0,single,risk_le_15=True,1,-0.073,-0.038,-24.0,21.45
2813,51.08,40.56,31.21,0.022,0.014,-0.064,1.044,1.024,0.907,25.29,43.07,-24.81,-40.0,-83.0,-243.0,single,risk_le_15=False,1,0.05,0.025,39.0,137.68
2135,47.03,37.52,29.51,-0.059,-0.062,-0.115,0.888,0.901,0.837,18.63,30.87,-18.99,-142.0,-152.0,-265.0,single,rel_vol_ge_1_25=True,1,-0.106,-0.056,-63.0,-43.07
2536,52.21,40.81,32.45,0.044,0.02,-0.026,1.092,1.034,0.961,19.38,34.67,-19.14,-48.0,-82.0,-162.0,single,rel_vol_ge_1_25=False,1,0.098,0.047,31.0,133.81
4510,49.82,39.38,31.26,-0.004,-0.016,-0.062,0.993,0.974,0.91,18.97,32.89,-19.03,-77.0,-166.5,-376.0,single,core_morning=True,1,-0.001,-0.001,2.0,73.22
