date,symbol,day_volume,changed
2018-03-09,NQM8,231083,true
2018-06-08,NQU8,193921,true
2018-09-14,NQZ8,281682,true
2018-12-14,NQH9,432299,true
2019-03-08,NQM9,329111,true
2019-06-14,NQU9,206513,true
2019-09-13,NQZ9,263962,true
2019-12-13,NQH0,375340,true
2020-03-15,NQM0,6369,true
2020-06-14,NQU0,10852,true
2020-09-13,NQZ0,6986,true
2020-12-13,NQH1,4153,true
2021-03-14,NQM1,6711,true
2021-06-13,NQU1,3913,true
2021-09-12,NQZ1,6998,true
2021-12-10,NQH2,358333,true
2022-03-13,NQM2,9968,true
2022-06-13,NQU2,607578,true
2022-09-12,NQZ2,365436,true
2022-12-12,NQH3,276888,true
2023-03-13,NQM3,635984,true
2023-06-12,NQU3,387747,true
2023-09-11,NQZ3,459978,true
2023-12-11,NQH4,394087,true
2024-03-11,NQM4,566526,true
2024-06-17,NQU4,505030,true
2024-09-16,NQZ4,267358,true
2024-12-17,NQH5,457772,true
2025-03-18,NQM5,466985,true
2025-06-16,NQU5,270065,true
2025-09-15,NQZ5,218586,true
2025-12-15,NQH6,305140,true
2026-03-16,NQM6,278782,true
